(64, 10)
(60, 11)
(47, 83)
(92, 5)
(98, 76)
(4, 26)
(55, 48)
(83, 44)
(74, 14)
(91, 8)
(73, 19)
(13, 42)
(81, 59)
(2, 82)
(8, 13)
(28, 94)
(57, 56)
(78, 27)
(54, 35)
(31, 71)
(0, 95)
(29, 97)
(37, 35)
(96, 70)
(21, 5)
(91, 37)
(74, 74)
(87, 8)
(68, 18)
(10, 95)
(48, 65)
(28, 76)
(5, 3)
(33, 70)
(80, 50)
(22, 41)
(62, 92)
(57, 40)
(10, 4)
(51, 4)
(62, 99)
(73, 77)
(35, 17)
(68, 47)
(47, 13)
(90, 3)
(55, 54)
(95, 56)
(82, 13)
(37, 82)
(21, 75)
(63, 25)
(96, 73)
(76, 1)
(12, 69)
(9, 35)
(30, 33)
(86, 2)
(32, 20)
(89, 50)
(53, 73)
(34, 89)
(42, 97)
(23, 2)
(23, 29)
(68, 78)
(12, 84)
(19, 80)
(68, 34)
(75, 72)
(10, 24)
(8, 90)
(9, 26)
(13, 25)
(49, 50)
(87, 1)
(31, 73)
(87, 44)
(12, 62)
(26, 72)
(17, 60)
(69, 61)
(73, 71)
(46, 51)
(58, 29)
(18, 92)
(74, 96)
(36, 26)
(1, 27)
(32, 64)
(60, 19)
(59, 62)
(83, 15)
(73, 21)
(25, 55)
(80, 89)
(12, 36)
(37, 4)
(42, 99)
(68, 36)
