(85, 83)
(17, 20)
(42, 41)
(52, 87)
(68, 60)
(64, 54)
(94, 8)
(0, 73)
(100, 53)
(11, 33)
(3, 3)
(7, 62)
(82, 2)
(66, 83)
(36, 87)
(48, 92)
(49, 30)
(18, 17)
(17, 89)
(64, 50)
(73, 12)
(34, 51)
(81, 47)
(60, 52)
(30, 87)
(75, 75)
(1, 55)
(56, 78)
(81, 98)
(93, 84)
(62, 78)
(47, 50)
(38, 9)
(25, 59)
(87, 42)
(90, 84)
(40, 1)
(75, 23)
(24, 77)
(90, 62)
(44, 55)
(82, 5)
(27, 28)
(1, 66)
(60, 76)
(67, 55)
(38, 51)
(33, 64)
(69, 39)
(94, 19)
(47, 14)
(68, 24)
(83, 65)
(69, 42)
(73, 60)
(90, 19)
(55, 4)
(8, 96)
(32, 72)
(62, 83)
(52, 48)
(49, 33)
(49, 40)
(15, 88)
(92, 68)
(37, 83)
(30, 27)
(33, 3)
(40, 97)
(83, 87)
(98, 78)
(65, 45)
(85, 100)
(97, 69)
(23, 6)
(43, 27)
(40, 58)
(98, 25)
(44, 51)
(85, 75)
(80, 27)
(25, 9)
(22, 20)
(4, 9)
(1, 8)
(81, 74)
(93, 36)
(86, 55)
(40, 63)
(8, 12)
(59, 61)
(98, 15)
(89, 7)
(59, 78)
(42, 45)
(28, 94)
(65, 78)
(4, 29)
(62, 44)
(88, 92)
